Image,Words,has_price,CTA,sentiment,aesthetic_score
Amazon_Product_1.jpeg,"['โน่', 'ทาบ', 'พส', 'เร', 'อนล', 'แนว', 'เร', 'เต', 'เอ', 'แจง', 'เก', 'เนต', 'เต', 'ัต', 'เท', 'ัพแน']",0,0,neutral,0.7290754318237305
Amazon_Product_10.jpeg,"['อเ', 'เขม', 'เลล', 'แม่']",0,0,negative,0.8629936575889587
Amazon_Product_11.jpeg,['เส'],0,0,neutral,0.7360116839408875
Amazon_Product_12.jpeg,['งรจจดจ'],0,0,neutral,0.5143164396286011
Amazon_Product_13.jpeg,"['สอง', 'เนอ', 'ลม']",0,0,neutral,0.6455895900726318
Amazon_Product_14.jpeg,"['อท', 'ได', 'จุ่', 'เต', 'งรมกหง', 'เร', 'รแยยเด็ม', 'งบจป์', '๒๕', 'จเซิลย']",0,0,neutral,0.6719971299171448
Amazon_Product_15.jpeg,['ซี'],0,0,neutral,0.7631240487098694
Amazon_Product_16.jpeg,"['ซี', 'เต', 'ศจ', 'สัน', 'เวงน', 'เจ']",0,0,neutral,0.5066657662391663
Amazon_Product_17.jpeg,"['เล', 'ทง', 'สส', 'สม', 'มวจ๊จ', '๕๕๒', 'ตา', 'ฆน', 'ญู']",0,0,neutral,0.2362191081047058
Amazon_Product_18.jpeg,"['แง', 'วน', 'เอ']",0,0,neutral,0.5652036070823669
Amazon_Product_19.jpeg,[],0,0,neutral,0.932959258556366
Amazon_Product_2.jpeg,[],0,0,neutral,0.493251234292984
Amazon_Product_20.jpeg,"['ฒามงส็', 'ไฝ', '๕๕๕๕๕๕๒๒']",0,0,neutral,0.6562608480453491
Amazon_Product_21.jpeg,"['ใจ', 'ฟี', 'ตัว', 'ต้รววณีจัมะ', 'เฮ', 'รอ']",0,0,neutral,0.5674661993980408
Amazon_Product_22.jpeg,"['ซี', '๐๕', 'จร', 'ระ', 'จจ', 'ดอม', 'ซรล', 'อง']",0,0,neutral,0.7711215615272522
Amazon_Product_23.jpeg,"['ปไ่', 'ไห', 'ไฟ', 'หวบววมวว']",0,0,positive,0.48587173223495483
Amazon_Product_24.jpeg,"['๐๐', 'บูสณะซ์', '๕๕', 'ลา', 'รี', 'โซ', 'งจฒจ', 'จพมณ์', 'วร', 'ศด', 'เวน']",0,0,neutral,0.8711543083190918
Amazon_Product_3.jpeg,"['๐๒', 'หา', 'บร']",0,0,neutral,0.6409822702407837
Amazon_Product_4.jpeg,"['๒๕', 'เณยคืด', 'สัน', 'เร', 'บเบอ', 'ฐงง', 'ลิ', 'ซี', 'ผูณ', 'เจ', 'งา']",0,0,neutral,0.7644327282905579
Amazon_Product_5.jpeg,"['งง', 'เศณี', 'เซ', 'ฑา', 'ไข', 'ผู']",0,0,positive,0.520855724811554
Amazon_Product_6.jpeg,"['จม', 'วง', 'งุลมเะ', 'เจา', 'รร', 'งจเม่']",0,0,neutral,0.5405662655830383
Amazon_Product_7.jpeg,[],0,0,neutral,0.2845480144023895
Amazon_Product_8.jpeg,['รณะ'],0,0,neutral,0.8752673864364624
